sample,value,loc_BeiJ
sample_1,13.167,1
sample_10,14.667,1
sample_100,14.625,1
sample_1000,13.0,1
sample_1001,11.15,1
sample_1002,11.0,1
sample_1003,12.233,1
sample_1004,11.25,1
sample_1005,16.367,1
sample_1006,16.25,1
sample_1007,13.292,1
sample_1008,11.55,1
sample_1009,12.0,1
sample_101,12.0,1
sample_1010,13.167,1
sample_1011,10.95,1
sample_1012,18.542,1
sample_1013,13.417,1
sample_1014,13.667,1
sample_1015,11.625,1
sample_1016,10.375,1
sample_1017,14.0,1
sample_1018,12.167,1
sample_1019,11.65,1
sample_102,12.733,1
sample_1020,13.35,1
sample_1021,12.533,1
sample_1022,11.8,1
sample_1023,12.0,1
sample_1024,12.55,1
sample_1025,11.5,1
sample_1026,15.167,1
